"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"new results dec 22"
"12/23/2022 11:31:44:792 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"278","initiator","uniform","knowledge","mutual","52468","52468","450","1346","0.7202218495082717"
"271","initiator","uniform","knowledge","mutual","48907","48907","450","1171","0.7200175843948718"
"279","initiator","uniform","knowledge","mutual","54634","54634","450","1461","0.7200607680199143"
"283","initiator","uniform","knowledge","self","61007","61007","450","1688","0.7199386955595257"
"286","initiator","uniform","knowledge","self","57790","57790","450","1511","0.7207596469977505"
"287","initiator","uniform","knowledge","self","37553","37553","450","563","0.7206135328735387"
"301","initiator","clumped","history","mutual","16001","16001","450","712","0.5018873820386225"
"288","initiator","uniform","knowledge","self","38280","38280","450","600","0.7210057471264368"
"290","initiator","uniform","knowledge","self","35321","35321","450","470","0.7211432292403953"
"302","initiator","clumped","history","mutual","16051","16051","450","722","0.5206778393869541"
"303","initiator","clumped","history","mutual","16035","16035","450","680","0.5130152790770192"
"289","initiator","uniform","knowledge","self","44280","44280","450","896","0.7210207768744354"
"294","initiator","uniform","knowledge","opponent","41347","41347","450","760","0.7206568795801388"
"296","initiator","uniform","knowledge","opponent","39422","39422","450","612","0.7210314037846887"
"298","initiator","uniform","knowledge","opponent","38998","38998","450","628","0.7210087696804964"
"297","initiator","uniform","knowledge","opponent","40358","40358","450","720","0.7208533624064621"
"305","initiator","clumped","history","mutual","15966","15966","450","641","0.5124890392083177"
"304","initiator","clumped","history","mutual","16062","16062","450","656","0.5252521479267837"
"306","initiator","clumped","history","mutual","16043","16043","451","720","0.5119429034469862"
"295","initiator","uniform","knowledge","opponent","46749","46749","450","967","0.721048578579221"
"293","initiator","uniform","knowledge","opponent","47267","47267","450","1040","0.7205344108997822"
"308","initiator","clumped","history","mutual","15965","15965","450","665","0.509038521766364"
"307","initiator","clumped","history","mutual","15975","15975","450","632","0.50502034428795"
"292","initiator","uniform","knowledge","opponent","54445","54445","450","1401","0.7206263201395904"
"309","initiator","clumped","history","mutual","16137","16137","450","756","0.5287599925636736"
"310","initiator","clumped","history","mutual","16047","16047","450","675","0.5338567956627407"
"311","initiator","clumped","history","self","16040","16040","450","660","0.5150249376558603"
"314","initiator","clumped","history","self","16057","16057","450","673","0.5207510742978141"
"313","initiator","clumped","history","self","15953","15953","450","685","0.5059111138970727"
"312","initiator","clumped","history","self","16142","16142","450","802","0.5256721595836946"
"315","initiator","clumped","history","self","16104","16104","450","824","0.5158594138102336"
"291","initiator","uniform","knowledge","opponent","63636","63636","450","1803","0.7202071154692311"
"300","initiator","uniform","knowledge","opponent","53058","53058","450","1286","0.7204606279920087"
"316","initiator","clumped","history","self","16051","16051","450","701","0.5305401532614791"
"319","initiator","clumped","history","self","16086","16086","450","775","0.5330598035558871"
"317","initiator","clumped","history","self","16085","16085","450","752","0.5121044451352192"
"318","initiator","clumped","history","self","16102","16102","450","693","0.5308160476959384"
"320","initiator","clumped","history","self","16181","16181","450","783","0.535578765218466"
"321","initiator","clumped","history","opponent","15944","15944","450","625","0.5114839438033116"
"322","initiator","clumped","history","opponent","15891","15891","450","526","0.5157510540557548"
"323","initiator","clumped","history","opponent","15920","15920","450","582","0.5057977386934673"
"325","initiator","clumped","history","opponent","15981","15981","450","577","0.52808334897691"
"324","initiator","clumped","history","opponent","15964","15964","450","603","0.528570533700827"
"326","initiator","clumped","history","opponent","16024","16024","451","590","0.5390351972041937"
"328","initiator","clumped","history","opponent","16006","16006","450","595","0.5203986005248032"
"329","initiator","clumped","history","opponent","15921","15921","450","563","0.5387161610451605"
"327","initiator","clumped","history","opponent","16016","16016","451","646","0.5264485514485515"
"332","initiator","clumped","knowledge","mutual","16104","16104","450","733","0.5269870839542972"
"330","initiator","clumped","history","opponent","15910","15910","450","592","0.5295474544311753"
"331","initiator","clumped","knowledge","mutual","15904","15904","450","576","0.5288292253521127"
"333","initiator","clumped","knowledge","mutual","16077","16077","450","673","0.5245692604341606"
"334","initiator","clumped","knowledge","mutual","15993","15993","450","614","0.5195648096042018"
"335","initiator","clumped","knowledge","mutual","16000","16000","450","605","0.53061875"
"336","initiator","clumped","knowledge","mutual","15995","15995","450","627","0.5240825257893091"
"337","initiator","clumped","knowledge","mutual","15952","15952","450","666","0.514813189568706"
"339","initiator","clumped","knowledge","mutual","15915","15915","451","543","0.5186490732013823"
"338","initiator","clumped","knowledge","mutual","16030","16030","450","659","0.5161010605115408"
